Row	Text	Letters	Fraction	LogMAR
-3	20/10	5	20/10	-0.30
-2	20/12.5	5	20/12.5	-0.20
-1	20/16	5	20/16	-0.10
0	20/20	5	20/20	0.00
1	20/25	5	20/25	+0.10
2	20/32	5	20/32	+0.20
3	20/40	5	20/40	+0.30
4	20/50	5	20/50	+0.40
5	20/63	5	20/63	+0.50
6	20/80	5	20/80	+0.60
7	20/100	5	20/100	+0.70
8	20/125	5	20/125	+0.80
9	20/160	5	20/160	+0.90
10	20/200	5	20/200	+1.00
11	20/250	5	20/250	+1.10
12	20/320	5	20/320	+1.20
13	20/400	5	20/400	+1.30
14	20/500	5	20/500	+1.40
15	20/630	5	20/630	+1.50
16	20/800	5	20/800	+1.60
17	20/1000	5	20/1000	+1.70
18	20/1250	5	20/1250	+1.80
19	20/1600	5	20/1600	+1.90
20	20/2000	5	20/2000	+2.00
30	20/20000	5	20/20000	+3.00
