Row	Text	Fraction	LogMAR
0	0 letters	20/800	+1.60
1	1 letters	20/800	+1.60
2	2 letters	20/800	+1.60
3	3 letters	20/800	+1.60
4	4 letters	20/800	+1.60
5	5 letters	20/800	+1.60
6	6 letters	20/640	+1.50
7	7 letters	20/640	+1.50
8	8 letters	20/640	+1.50
9	9 letters	20/640	+1.50
10	10 letters	20/640	+1.50
11	11 letters	20/500	+1.40
12	12 letters	20/500	+1.40
13	13 letters	20/500	+1.40
14	14 letters	20/500	+1.40
15	15 letters	20/500	+1.40
16	16 letters	20/400	+1.30
17	17 letters	20/400	+1.30
18	18 letters	20/400	+1.30
19	19 letters	20/400	+1.30
20	20 letters	20/400	+1.30
21	21 letters	20/320	+1.20
22	22 letters	20/320	+1.20
23	23 letters	20/320	+1.20
24	24 letters	20/320	+1.20
25	25 letters	20/320	+1.20
26	26 letters	20/250	+1.10
27	27 letters	20/250	+1.10
28	28 letters	20/250	+1.10
29	29 letters	20/250	+1.10
30	30 letters	20/250	+1.10
31	31 letters	20/200	+1.00
32	32 letters	20/200	+1.00
33	33 letters	20/200	+1.00
34	34 letters	20/200	+1.00
35	35 letters	20/200	+1.00
36	36 letters	20/160	+0.90
37	37 letters	20/160	+0.90
38	38 letters	20/160	+0.90
39	39 letters	20/160	+0.90
40	40 letters	20/160	+0.90
41	41 letters	20/125	+0.80
42	42 letters	20/125	+0.80
43	43 letters	20/125	+0.80
44	44 letters	20/125	+0.80
45	45 letters	20/125	+0.80
46	46 letters	20/100	+0.70
47	47 letters	20/100	+0.70
48	48 letters	20/100	+0.70
49	49 letters	20/100	+0.70
50	50 letters	20/100	+0.70
51	51 letters	20/80	+0.60
52	52 letters	20/80	+0.60
53	53 letters	20/80	+0.60
54	54 letters	20/80	+0.60
55	55 letters	20/80	+0.60
56	56 letters	20/63	+0.50
57	57 letters	20/63	+0.50
58	58 letters	20/63	+0.50
59	59 letters	20/63	+0.50
60	60 letters	20/63	+0.50
61	61 letters	20/50	+0.40
62	62 letters	20/50	+0.40
63	63 letters	20/50	+0.40
64	64 letters	20/50	+0.40
65	65 letters	20/50	+0.40
66	66 letters	20/40	+0.30
67	67 letters	20/40	+0.30
68	68 letters	20/40	+0.30
69	69 letters	20/40	+0.30
70	70 letters	20/40	+0.30
71	71 letters	20/32	+0.20
72	72 letters	20/32	+0.20
73	73 letters	20/32	+0.20
74	74 letters	20/32	+0.20
75	75 letters	20/32	+0.20
76	76 letters	20/25	+0.10
77	77 letters	20/25	+0.10
78	78 letters	20/25	+0.10
79	79 letters	20/25	+0.10
80	80 letters	20/25	+0.10
81	81 letters	20/20	0.00
82	82 letters	20/20	0.00
83	83 letters	20/20	0.00
84	84 letters	20/20	0.00
85	85 letters	20/20	0.00
86	86 letters	20/15	-0.10
87	87 letters	20/15	-0.10
88	88 letters	20/15	-0.10
89	89 letters	20/15	-0.10
90	90 letters	20/15	-0.10
91	91 letters	20/12	-0.20
92	92 letters	20/12	-0.20
93	93 letters	20/12	-0.20
94	94 letters	20/12	-0.20
95	95 letters	20/12	-0.20
